    N,Site,    AX1    ,  AX2    ,  AX3    ,  AX4   ,   WEIGHT,    N2
175,2006.317,0.9816,1.1786,1.0656,0.6565,60.57,39.22
176,2006.319,0.7494,0.6721,0.0744,0.4855,61.35,46.08
177,2006.331,2.0623,0.5839,0.7241,0.6083,51.16,37.06
178,2006.343,1.3734,0.8653,0.8725,0.7588,56.85,41.19
179,2006.346,0.6769,0.1254,0.8121,1.1594,47.9,31.85
180,2006.35,1.2131,0.645,1.0879,0.5431,67.77,62.64
181,2007.205,0.5646,0.7153,1.1641,0.2979,53.59,46.93
182,2007.206,1.1153,0.4775,0.7411,0.2286,76.82,69.99
183,2007.208,0.4242,1.0827,0.7409,0.6078,61.58,40.51
184,2007.22,0.9466,0.7804,1.0723,0.265,77.88,59.99
185,2007.222,1.0373,0.5649,0.752,0.0899,82.26,69.51
186,2007.226,0.8705,0.4308,1.4675,0.5835,74.31,51.33
187,2007.238,1.4027,0.6518,0.7128,0.3897,73.88,57.73
188,2007.244,1.3835,0.5789,0.6171,0.3146,79.61,56.92
189,2007.254,0.9213,1.5078,0.8624,0.6393,50.55,43.18
190,2007.259,0.6892,0.4492,0.3918,0.6141,52.14,36.24
191,2007.303,1.2689,0.1984,1.0187,0.502,70.36,63.12
192,2007.307,1.553,0.8954,0.8565,0.3582,71.52,75.89
193,2007.308,0.1927,0.6446,0.8632,0.5988,49.72,38.36
194,2007.309,1.3346,0.3794,1.0351,1.0009,68.37,52.93
195,2007.317,1.0823,1.3298,1.0011,0.5869,67.96,62.48
196,2007.319,0.7974,0.7457,0.0679,0.53,63.96,57.52
197,2007.331,2.1589,0.686,0.7117,0.6254,63,65.28
198,2007.343,1.5142,0.9487,0.8036,0.6889,67.84,52.06
199,2007.346,0.7122,0.3113,0.8144,1.0566,54.41,44.19
200,2007.35,1.2559,0.7857,1.0099,0.3415,72.44,66.19
201,2008.205,0.6501,0.7011,1.0573,0.0267,63.37,60.48
202,2008.206,1.0773,0.5152,0.8797,0.3023,68.48,60.32
