"plot","burn_date"
344,1996-04-10
344,1997-03-11
344,1999-03-27
344,2003-03-24
345,1993-04-09
345,1994-03-18
345,1995-03-30
345,1998-04-01
345,2000-03-27
345,2001-03-13
345,2003-03-23
345,2007-04-02
347,1993-04-16
347,1994-03-03
347,1995-03-16
347,1996-04-01
347,1997-03-12
347,1998-03-21
347,2000-03-20
347,2003-03-13
347,2004-03-12
347,2005-03-14
347,2006-03-25
347,2008-03-26
348,1993-04-16
348,1994-03-03
348,1995-03-16
348,1996-04-01
348,1997-03-12
348,1998-03-21
348,2000-03-20
348,2003-03-13
348,2004-03-12
348,2005-03-14
348,2006-03-25
349,1993-04-16
349,1994-03-03
349,1996-04-01
349,1997-03-12
349,1998-03-21
349,1999-03-24
349,2000-03-20
349,2001-03-21
349,2003-03-13
349,2004-03-12
349,2005-03-14
349,2006-03-25
351,1993-03-11
351,1994-03-05
351,1995-03-17
351,1996-04-10
351,1998-03-22
351,2007-09-12
352,1993-03-06
352,1996-03-31
352,1998-03-22
352,2000-03-25
352,2001-03-17
352,2004-09-01
353,1996-03-31
353,1998-03-22
353,2000-03-25
353,2001-03-17
353,2006-04-12
354,1993-04-09
354,1994-03-18
354,2000-04-14
354,2003-03-23
354,2007-04-02
401,1993-03-06
401,1996-03-31
401,1998-03-22
401,2000-03-25
401,2001-03-17
401,2004-03-09
402,1993-03-06
402,1996-03-31
402,2000-03-25
402,2004-03-09
403,1996-03-31
403,1998-03-22
403,2000-03-25
403,2001-03-17
403,2006-04-12
404,1993-03-27
404,1994-03-19
404,1997-03-21
404,1999-04-06
404,2000-03-31
404,2001-03-30
404,2002-03-28
404,2003-03-26
404,2004-12-14
405,1993-03-27
405,1994-03-19
405,1997-03-21
405,1999-04-06
405,2000-03-31
405,2001-03-30
405,2002-03-28
405,2003-03-26
405,2008-04-05
406,1993-03-27
406,1994-03-19
406,1997-03-21
406,1999-04-06
406,2000-03-31
406,2001-03-30
406,2002-03-28
406,2003-03-26
406,2004-05-03
406,2006-12-15
406,2007-08-28
407,1996-03-31
407,1998-03-22
407,2000-03-25
407,2001-03-17
407,2006-04-12
408,1993-03-27
408,1994-03-19
408,1997-03-21
408,1999-04-06
408,2000-03-31
408,2001-03-30
408,2002-03-28
408,2003-03-26
408,2008-04-05
409,1993-03-06
409,1996-03-31
409,2000-03-25
409,2004-12-17
410,1993-03-11
410,1994-03-05
410,1995-03-17
410,1996-04-06
410,1998-03-22
410,2001-03-20
410,2006-04-12
410,2008-03-10
411,1996-03-31
411,2000-03-25
411,2006-04-12
412,1993-03-25
412,1994-03-06
412,1997-03-11
412,1999-03-26
412,2008-03-29
413,1993-03-25
413,1994-03-06
413,1995-03-24
413,1996-04-10
413,1997-03-11
413,1999-03-30
413,2003-03-24
414,1993-03-25
414,1994-03-06
414,1995-03-24
414,1996-04-10
414,1997-03-11
414,1999-03-27
414,2009-04-08
415,1993-03-25
415,1995-03-24
415,1996-03-31
415,2000-03-25
415,2005-08-29
415,2009-04-08
501,1993-03-25
501,1994-03-06
501,1995-03-24
501,1996-04-27
501,1997-03-29
501,1999-03-30
501,2000-03-28
501,2001-04-03
501,2002-04-03
501,2003-03-24
501,2004-03-20
501,2005-03-19
501,2008-03-29
502,1993-03-25
502,1994-03-06
502,1995-03-24
502,1996-04-10
502,1997-03-11
502,1999-03-30
502,2000-03-28
502,2001-03-26
502,2003-03-24
502,2004-03-20
502,2006-04-17
503,1993-03-25
503,1994-03-06
503,1995-03-24
503,1996-04-10
503,1997-03-11
503,1999-03-30
503,2000-03-28
503,2001-03-26
503,2003-03-24
503,2004-03-20
503,2006-04-17
503,2008-07-28
504,1993-03-25
504,1994-03-06
504,1995-03-24
504,1996-04-10
504,1997-03-11
504,1999-03-30
504,2000-03-28
504,2001-03-26
504,2003-03-24
504,2007-08-27
505,1993-03-25
505,1994-03-06
505,1995-03-24
505,1996-04-10
505,1997-03-11
505,1999-03-30
505,2003-03-24
505,2007-08-27
506,1993-03-25
506,1994-03-06
506,1995-03-24
506,1996-04-10
506,1997-03-11
506,1999-03-30
506,2003-03-24
506,2007-08-27
507,1993-03-25
507,1995-03-24
507,1996-03-31
507,2000-03-25
507,2005-08-29
507,2009-04-08
508,1993-03-27
508,1994-03-19
508,1997-03-21
508,1999-04-06
508,2000-03-31
508,2001-03-30
508,2008-04-05
509,1994-03-06
509,1997-03-10
509,1999-03-26
509,2001-04-02
509,2002-04-01
509,2003-03-24
509,2004-03-20
509,2008-03-29
510,1993-03-25
510,1994-03-06
510,1997-03-10
510,1999-03-26
510,2001-04-03
510,2008-03-29
511,1993-03-09
511,1994-03-04
511,1997-03-10
511,1999-03-26
511,2001-04-03
511,2009-03-25
512,1993-03-09
512,1994-03-04
512,1997-03-10
512,1999-03-26
512,2001-04-03
512,2009-03-25
513,1993-03-27
513,1994-03-19
513,1997-03-21
513,1999-04-06
513,2000-03-31
513,2001-03-30
513,2002-03-28
513,2003-03-26
513,2004-05-03
513,2007-08-28
514,1993-03-27
514,1994-03-19
514,1997-03-21
514,1999-04-06
514,2000-03-31
514,2001-03-30
514,2002-03-28
514,2003-03-26
514,2006-12-15
514,2008-04-05
515,1999-04-06
515,2003-03-26
515,2008-04-05
516,1993-03-25
516,1994-03-06
516,1995-03-24
516,1996-04-10
516,1997-03-11
516,1999-03-30
516,2003-03-24
516,2008-07-28
517,1994-03-06
517,1997-03-29
517,1999-03-30
517,2001-04-02
517,2003-03-24
517,2004-03-20
517,2008-03-29
518,1994-03-06
518,1997-03-29
518,1999-03-30
518,2001-04-02
518,2003-03-24
518,2004-03-20
519,1994-03-06
519,1997-03-29
519,1999-03-30
519,2001-04-02
519,2003-03-24
519,2004-03-20
519,2005-03-19
519,2008-03-29
520,1993-03-25
520,1994-03-06
520,1995-03-24
520,1996-04-10
520,1997-03-11
520,1999-03-30
520,2000-03-28
520,2001-03-26
520,2003-03-24
520,2007-08-27
521,1999-03-30
521,2001-04-03
521,2002-04-03
521,2003-03-24
521,2004-03-20
521,2005-03-19
521,2008-03-29
522,1999-03-30
522,2000-03-28
522,2001-03-26
522,2002-04-03
522,2003-03-24
522,2004-03-20
522,2005-03-19
522,2008-03-29
523,1993-03-25
523,1994-03-06
523,1997-03-11
523,1999-03-30
523,2000-03-28
523,2001-03-26
523,2002-04-03
523,2003-03-24
523,2004-03-20
523,2006-04-17
524,1999-04-06
524,2004-03-20
524,2006-04-17
