"STID","STNM","MONTH","YEAR","RELH","TAIR","WSPD","WVEC","WDIR","WDSD","WSSD","WMAX","RAIN","PRES","SRAD","TA9M","WS2M","TS10","TB10","TS05","TB05","TS30","TR05","TR25","TR60","TR75"
"FORA",38,"10","1999",63.5740492170022,15.1904138702461,3.92042505592841,3.8510514541387,147.043064876957,9.34768456375839,0.605290827740492,5.34925055928412,49.27,979.892064876958,174.747427293065,15.5891163310962,2.29555928411633,15.0518117168981,15.5178462580427,13.4984422621063,15.0685743311886,15.8436505248899,1.98281208053691,1.85389932885906,1.79569127516779,2.09859731543624
"FORA",38,"11","1999",62.1584984358707,12.4001506198586,4.12776039856332,4.07036264627506,178.299038350133,7.98076700266481,0.576155717761557,5.48028038465995,3.81,981.015655196385,143.379214459506,12.9530645348164,2.45901981230448,12.288390684741,11.063086548488,10.694403892944,10.3487660757734,13.2521376433785,1.78098885793872,1.74439415041783,1.69986768802228,1.72781337047354
"FORA",38,"12","1999",69.7497478426538,4.67359632410624,4.56249019388098,4.49078785161941,176.058500504315,9.10734058052225,0.663498823265718,6.13113302700885,137.93,979.382529418357,103.217303597445,5.02788299899137,2.86681609324218,6.51180228648285,4.88053127101547,4.86802286482851,4.01398789509079,7.86361802286483,1.60264468371467,1.64664872139973,1.65377523553163,1.67279946164199
"FORA",38,"01","2000",70.8569017887276,2.43892451344358,3.83527955900551,3.77574530318371,161.127123410957,8.83309708628642,0.560557993025087,5.13881201484981,18.28,981.130529868377,101.60794240072,2.7422094723816,2.4084711441107,5.00202497468782,3.73955450556868,3.41997975025312,2.83550455619305,6.17607154910564,1.64288993923025,1.61064821066847,1.57654287643484,1.60700202565834
"FORA",38,"02","2000",65.8166485965546,7.28626671485363,4.93960968558005,4.86490784242862,186.505119865076,9.20936031803397,0.734092278038791,6.65865558366462,65.28,979.119721720275,151.90976990724,7.46889531381761,3.24857246114926,6.55417419588001,6.64672930972172,5.23075533068305,6.26100469822913,6.93805565594507,1.64007342143906,1.61285714285714,1.55015953589558,1.56307469180566
"FORA",38,"03","2000",71.9201170117012,10.1424729972997,4.45155265526553,4.38014176417642,148.365099009901,9.45295904590459,0.724977497749775,6.16826057605761,148.86,976.838117686769,164.949594959496,10.0992349234923,2.97729522952295,10.2780290246372,10.3987850151873,9.69760377995275,10.1175160310496,10.3728990887614,1.54150675675676,1.55493918918919,1.51246621621622,1.52156081081081
"FORA",38,"04","2000",66.2935416180928,14.3635579389135,4.96154115178363,4.87483096292842,181.999300536256,10.0176031709023,0.747027279086034,6.71407087899277,93.72,976.258914665423,241.039752856144,14.1773490324085,3.49185124737701,14.2107729975516,14.3929695697796,14.0286114025883,14.2998251136761,13.4471493529206,1.5073986013986,1.50669230769231,1.49245454545455,1.48182517482517
"FORA",38,"05","2000",76.7447477811482,20.55261206606,4.82107628356364,4.74712953600719,186.379283226604,9.57631726772273,0.727064374789349,6.53071564992697,160.27,972.279779800022,258.684305134255,20.5017189079879,3.37378946185822,19.9545669025952,20.9846983485002,19.8763397371082,21.1842601954837,18.4019548365352,1.54095077545516,1.48548887390425,1.4831894807822,1.46212407282535
"FORA",38,"06","2000",81.0813657407407,21.9713310185185,4.52476851851852,4.46070601851852,149.025115740741,9.41366898148148,0.688159722222222,6.13978009259259,268.72,976.64040625,254.4625,21.9971064814815,3.09039351851852,22.1055555555556,23.775,21.8503472222222,23.7807291666667,21.0752430555556,1.59180339462518,1.47552333804809,1.4746676096181,1.45080622347949
"FORA",38,"07","2000",77.3174532003139,25.4508911557,3.62671225198969,3.56877031722901,153.913350521242,9.46713372940253,0.558390314987109,4.93162201546912,51.31,976.180833987221,290.64409819527,25.7049321824908,2.29904719201883,24.6992263706694,28.5875210225362,24.4379078372015,28.8793138244198,23.6058526740666,2.02577673167451,1.77501681237391,1.49713517148621,1.48221250840619
