"plot","plot_yr","yr","repeat_plot","grid_plot","date_samp","jul_day","easting","northing","coord_comments","grassht","forbht","woodyht","woodypct","basal_area","density","dens_c1","dens_c2","dens_c3","dens_c4","avgdens","stddens","waterpct","rockpct","barepct","slope","aspect","TEC","PH","ORG","S","BCA","BMG","BK","BNA","BH","rain6","rain7","rain8","rain9","rain10","rain11","rain12","rain1","rain2","rain3","rain4","rain5","temp6","temp7","temp8","temp9","temp10","temp11","temp12","temp1","temp2","temp3","temp4","temp5","OrBis","bison","YrsOB","BP5Yrs","YrsSLB","burn","date_of_burn","jul_day_burn","logP","logCA","logMG","logK","logNA.","logB","logFE","logMN","logCU","logZN","logAL","eastness","northness"
307,307.1999,1999,1,1,1999-06-08,159,731000,4079000,"",0.7,0.6,0,0,0,0,NA,NA,NA,NA,0,NA,0,0,10,3,270,16.79,6,3.79,"26",59.62,17.37,1.63,0.98,15,49,176,26,138,210,103,41,61,53,87,146,162,24.8,27,26.8,25.1,15.8,11,3.3,3.8,8.2,7.7,15.3,19,0,0,0,3,1.21369863,0,NA,NA,0.954242509439325,3.3014640731433,2.54406804435028,2.33041377334919,1.57978359661681,0.322219294733919,2.28555730900777,1.50514997831991,0.161368002234975,0.170261715394957,2.81358098856819,-0.176045946471211,0.984381950632505
308,308.1999,1999,1,1,1999-06-02,153,730000,4086000,"",0.6,0.8,0.6,1,0,0,NA,NA,NA,NA,0,NA,0,0,0.5,7,126,29.93,6.4,8.15,"32",70.21,12.86,2.47,0.45,9,49,176,26,138,210,103,41,61,53,87,146,162,24.8,27,26.8,25.1,15.8,11,3.3,3.8,8.2,7.7,15.3,19,0,0,0,4,0.191780822,1,1999-03-24,83,1.11394335230684,3.62355939000544,2.66464197555613,2.76042248342321,1.49136169383427,0.311753861055754,2.23552844690755,1.73239375982297,0.492760389026837,0.688419822002711,2.75358305889291,0.329990825673782,0.943984139152314
309,309.1999,1999,1,1,1999-06-02,153,731000,4086000,"",0.6,0.7,0.5,2,0,0,NA,NA,NA,NA,0,NA,0,10,25,8,120,15.12,5.7,5.18,"28",52.84,13.72,2.1,1.32,24,49,176,26,138,210,103,41,61,53,87,146,162,24.8,27,26.8,25.1,15.8,11,3.3,3.8,8.2,7.7,15.3,19,0,0,0,4,0.191780822,1,1999-03-24,83,1.07918124604762,3.20357677497797,2.39619934709574,2.39445168082622,1.66275783168157,0.238046103128795,2.41995574848976,1.36172783601759,0.232996110392154,0.46686762035411,2.81557774832427,0.580611184212314,0.814180970526562
317,317.1999,1999,1,1,1999-06-04,155,733000,4079000,"",0.7,0.6,0.3,1,0,0,NA,NA,NA,NA,0,NA,0,0.5,5,5,125,19.8,6.6,5.81,"28",74.52,12.42,1.61,0.64,6,49,176,26,138,210,103,41,61,53,87,146,162,24.8,27,26.8,25.1,15.8,11,3.3,3.8,8.2,7.7,15.3,19,0,0,0,3,1.202739726,0,NA,NA,1,3.46996920949996,2.46982201597816,2.39445168082622,1.46239799789896,0.278753600952829,2.36921585741014,1.66275783168157,0.262451089730429,0.510545010206612,2.66181268553726,-0.616040459188656,0.787714512144234
319,319.1999,1999,1,1,1999-06-04,155,734000,4079000,"",0.5,0.6,0,0,0,0,NA,NA,NA,NA,0,NA,0,0,10,1,160,24.22,6.4,5.79,"25",72.75,10.43,2.45,0.38,9,49,176,26,138,210,103,41,61,53,87,146,162,24.8,27,26.8,25.1,15.8,11,3.3,3.8,8.2,7.7,15.3,19,0,0,0,3,1.202739726,0,NA,NA,1.04139268515823,3.54703589974001,2.4814426285023,2.66464197555613,1.32221929473392,0.243038048686294,2.02118929906994,1.74036268949424,0.320146286111054,0.487138375477186,2.69019608002851,0.219425258379005,-0.975629312795237
331,331.1999,1999,1,1,1999-06-09,160,738000,4069000,"",0.8,0.5,0.7,0.5,0,0,NA,NA,NA,NA,0,NA,0,0.5,5,2,300,7.1,5.7,1.91,"20",57.68,9.15,2.02,1.16,24,49,176,26,138,210,103,41,61,53,87,146,162,24.8,27,26.8,25.1,15.8,11,3.3,3.8,8.2,7.7,15.3,19,0,0,0,1,4.180821918,0,NA,NA,1.20411998265592,2.91328390176042,1.89209460269048,2.04921802267018,1.27875360095283,0.127104798364808,2.2380461031288,1.36172783601759,-0.148741651280925,0.588831725594207,2.66275783168157,-0.999755839901149,-0.0220966192786839
343,343.1999,1999,1,1,1999-06-09,160,734000,4083000,"",0.8,0.7,0.4,0.5,0,0,NA,NA,NA,NA,0,NA,0,0,2,2,43,15.36,5.9,4.05,"24",56.15,16.71,2.9,0.62,18,49,176,26,138,210,103,41,61,53,87,146,162,24.8,27,26.8,25.1,15.8,11,3.3,3.8,8.2,7.7,15.3,19,0,0,0,3,1.219178082,0,NA,NA,1.17609125905568,3.23678909940929,2.48855071650044,2.54157924394658,1.34242268082221,0.222716471147583,2.25042000230889,1.53147891704226,0.14921911265538,0.382017042574868,2.75434833571102,-0.831774742628598,0.555113301520626
346,346.1999,1999,1,1,1999-06-03,154,734000,4074000,"",0.5,0.6,0,0,0,0,NA,NA,NA,NA,0,NA,0,0.5,30,5,310,22.38,6.3,6.79,"27",64.5,15.56,3.77,0.58,10.5,49,176,26,138,210,103,41,61,53,87,146,162,24.8,27,26.8,25.1,15.8,11,3.3,3.8,8.2,7.7,15.3,19,0,0,0,2,0.15890411,1,1999-04-06,96,1.07918124604762,3.46044678388072,2.62117628177504,2.81822589361396,1.47712125471966,0.262451089730429,2.19033169817029,1.30102999566398,0.227886704613674,0.699837725867246,2.71264970162721,0.85088768865586,-0.525347638515573
350,350.1999,1999,1,1,1999-06-04,155,733000,4081000,"",0.7,0.5,0.3,0.5,0,0,NA,NA,NA,NA,0,NA,0,0,10,2,190,19.71,5.9,5.36,"26",56.62,16.32,1.83,1.63,18,49,176,26,138,210,103,41,61,53,87,146,162,24.8,27,26.8,25.1,15.8,11,3.3,3.8,8.2,7.7,15.3,19,0,0,0,3,1.202739726,0,NA,NA,1.04139268515823,3.34869419026554,2.58658730467176,2.45024910831936,1.86923171973098,0.250420002308894,2.29446622616159,1.60205999132796,0.313867220369153,0.61066016308988,2.74429298312268,0.9977992786806,0.0663068583517113
205,205.2,2000,1,1,2000-06-10,162,727000,4080000,"",1.1,0.6,0.4,1,0,0,NA,NA,NA,NA,0,NA,0,0,0.5,3,298,28.8,6.7,7.13,"24",80.17,17.1,1.99,0.72,0,193,86,55,152,49,4,138,18,65,149,95,160,22.4,26.8,26.3,19.2,15.2,12.4,4.7,2.4,7.3,10.2,14.3,20.6,1,1,6.649315068,1,2.367123288,0,NA,NA,1.27875360095283,3.66445392858116,2.77158748088126,2.35024801833416,1.68124123737559,0.313867220369153,2.12710479836481,1.70757017609794,0.553883026643874,0.597695185925512,2.80685802951882,0.436137629146049,-0.899879974464853
